order_id,user_id,order_number,order_date,order_hour_of_day,days_since_prior_order,product_id,add_to_cart_order,reordered,department_id,department,product_name
1160131,147243,26,6,7,6,96,11,1,20,deli,"lunch meat"
1160131,147243,26,6,7,6,120,10,1,16,"dairy eggs",yogurt
1160131,147243,26,6,7,6,120,9,1,16,"dairy eggs",yogurt
1160131,147243,26,6,7,6,24,8,1,4,produce,"fresh fruits"
1160131,147243,26,6,7,6,108,4,1,16,"dairy eggs","other creams cheeses"
1160131,147243,26,6,7,6,120,7,1,16,"dairy eggs",yogurt
1160131,147243,26,6,7,6,107,6,1,19,snacks,"chips pretzels"
1160131,147243,26,6,7,6,30,5,1,6,international,"latino foods"
1160131,147243,26,6,7,6,24,3,1,4,produce,"fresh fruits"
1160131,147243,26,6,7,6,83,2,0,4,produce,"fresh vegetables"
1160131,147243,26,6,7,6,96,14,1,20,deli,"lunch meat"
1160131,147243,26,6,7,6,24,1,0,4,produce,"fresh fruits"
1160131,147243,26,6,7,6,123,13,1,4,produce,"packaged vegetables fruits"
1160131,147243,26,6,7,6,91,12,1,16,"dairy eggs","soy lactosefree"
1395239,147243,2,5,17,4,58,10,0,1,frozen,"frozen breads doughs"
1395239,147243,2,5,17,4,96,11,0,20,deli,"lunch meat"
1395239,147243,2,5,17,4,51,12,0,13,pantry,"preserved dips spreads"
1395239,147243,2,5,17,4,131,14,0,9,"dry goods pasta","dry pasta"
1395239,147243,2,5,17,4,83,15,0,4,produce,"fresh vegetables"
1395239,147243,2,5,17,4,109,16,0,11,"personal care","skin care"
1395239,147243,2,5,17,4,83,17,0,4,produce,"fresh vegetables"
1395239,147243,2,5,17,4,120,3,1,16,"dairy eggs",yogurt
1395239,147243,2,5,17,4,91,1,0,16,"dairy eggs","soy lactosefree"
1395239,147243,2,5,17,4,120,2,1,16,"dairy eggs",yogurt
1395239,147243,2,5,17,4,106,13,0,12,"meat seafood","hot dogs bacon sausage"
1395239,147243,2,5,17,4,24,4,0,4,produce,"fresh fruits"
1395239,147243,2,5,17,4,78,5,0,19,snacks,crackers
1395239,147243,2,5,17,4,50,6,0,19,snacks,"fruit vegetable snacks"
1395239,147243,2,5,17,4,107,7,0,19,snacks,"chips pretzels"
1395239,147243,2,5,17,4,129,8,0,1,frozen,"frozen appetizers sides"
1395239,147243,2,5,17,4,105,9,0,13,pantry,"doughs gelatins bake mixes"
2014500,147243,27,4,16,5,59,1,0,15,"canned goods","canned meals beans"
2014500,147243,27,4,16,5,91,2,1,16,"dairy eggs","soy lactosefree"
799159,147243,38,3,23,8,120,7,1,16,"dairy eggs",yogurt
799159,147243,38,3,23,8,36,1,1,16,"dairy eggs",butter
799159,147243,38,3,23,8,105,2,1,13,pantry,"doughs gelatins bake mixes"
799159,147243,38,3,23,8,129,3,0,1,frozen,"frozen appetizers sides"
799159,147243,38,3,23,8,91,4,1,16,"dairy eggs","soy lactosefree"
799159,147243,38,3,23,8,120,5,1,16,"dairy eggs",yogurt
799159,147243,38,3,23,8,120,8,1,16,"dairy eggs",yogurt
799159,147243,38,3,23,8,24,9,1,4,produce,"fresh fruits"
799159,147243,38,3,23,8,67,10,1,20,deli,"fresh dips tapenades"
799159,147243,38,3,23,8,24,6,1,4,produce,"fresh fruits"
1201011,147243,14,0,16,3,36,13,1,16,"dairy eggs",butter
1201011,147243,14,0,16,3,121,14,0,14,breakfast,cereal
1201011,147243,14,0,16,3,86,15,0,16,"dairy eggs",eggs
227923,147243,19,0,8,30,120,1,1,16,"dairy eggs",yogurt
227923,147243,19,0,8,30,120,2,1,16,"dairy eggs",yogurt
227923,147243,19,0,8,30,120,3,1,16,"dairy eggs",yogurt
227923,147243,19,0,8,30,129,4,1,1,frozen,"frozen appetizers sides"
227923,147243,19,0,8,30,96,5,1,20,deli,"lunch meat"
227923,147243,19,0,8,30,121,7,1,14,breakfast,cereal
227923,147243,19,0,8,30,86,8,1,16,"dairy eggs",eggs
227923,147243,19,0,8,30,91,9,0,16,"dairy eggs","soy lactosefree"
227923,147243,19,0,8,30,4,10,0,9,"dry goods pasta","instant foods"
227923,147243,19,0,8,30,36,17,1,16,"dairy eggs",butter
1201011,147243,14,0,16,3,91,7,1,16,"dairy eggs","soy lactosefree"
1201011,147243,14,0,16,3,94,1,0,7,beverages,tea
1201011,147243,14,0,16,3,83,2,0,4,produce,"fresh vegetables"
1201011,147243,14,0,16,3,83,3,1,4,produce,"fresh vegetables"
1201011,147243,14,0,16,3,24,4,1,4,produce,"fresh fruits"
227923,147243,19,0,8,30,9,24,0,9,"dry goods pasta","pasta sauce"
227923,147243,19,0,8,30,21,6,1,16,"dairy eggs","packaged cheese"
1201011,147243,14,0,16,3,120,5,1,16,"dairy eggs",yogurt
1201011,147243,14,0,16,3,120,6,1,16,"dairy eggs",yogurt
1201011,147243,14,0,16,3,120,8,1,16,"dairy eggs",yogurt
1201011,147243,14,0,16,3,120,9,1,16,"dairy eggs",yogurt
1201011,147243,14,0,16,3,8,10,0,3,bakery,"bakery desserts"
227923,147243,19,0,8,30,83,23,1,4,produce,"fresh vegetables"
1201011,147243,14,0,16,3,52,12,0,1,frozen,"frozen breakfast"
227923,147243,19,0,8,30,96,21,0,20,deli,"lunch meat"
1201011,147243,14,0,16,3,24,11,1,4,produce,"fresh fruits"
227923,147243,19,0,8,30,105,20,1,13,pantry,"doughs gelatins bake mixes"
227923,147243,19,0,8,30,106,19,1,12,"meat seafood","hot dogs bacon sausage"
227923,147243,19,0,8,30,123,18,1,4,produce,"packaged vegetables fruits"
227923,147243,19,0,8,30,96,22,1,20,deli,"lunch meat"
227923,147243,19,0,8,30,24,15,1,4,produce,"fresh fruits"
227923,147243,19,0,8,30,81,14,1,15,"canned goods","canned jarred vegetables"
227923,147243,19,0,8,30,83,13,0,4,produce,"fresh vegetables"
227923,147243,19,0,8,30,91,12,1,16,"dairy eggs","soy lactosefree"
227923,147243,19,0,8,30,120,11,0,16,"dairy eggs",yogurt
227923,147243,19,0,8,30,91,16,1,16,"dairy eggs","soy lactosefree"
